x,y,cluster_id
-0.969352,-0.160919,1
-0.190672,-0.994798,1
-0.421734,-0.320159,2
-0.359855,-0.374279,2
-0.883194,-0.211120,1
-0.712369,-0.646309,1
-0.570527,-0.859543,1
-0.249920,-0.382987,2
-1.032481,-0.148126,1
-0.468067,-0.912700,1
-0.243366,-0.479973,2
-0.265489,-0.317382,2
-0.026965,-0.953651,1
-0.948137,-0.304869,1
-0.338873,-0.969096,1
-0.321372,-0.457126,2
-0.116850,-0.469593,2
-0.059690,-0.467648,2
-1.006592,-0.067307,1
-0.294014,-0.395231,2
-0.332212,-0.438627,2
-0.520569,-0.111489,2
-0.243514,-0.450142,2
-0.158162,-0.976383,1
-0.906887,-0.418672,1
-0.308463,-0.921680,1
-0.580815,-0.762879,1
-0.425373,-0.277907,2
-0.407114,-0.342359,2
-0.573231,-0.822512,1
-0.470632,-0.088834,2
-0.121934,-0.407742,2
-0.361981,-0.383564,2
-0.459966,-0.061991,2
-0.814203,-0.472612,1
-0.501646,-0.172449,2
-0.890218,-0.501828,1
-0.312603,-0.325029,2
-0.742818,-0.603934,1
-0.774742,-0.538176,1
-0.784501,-0.439726,1
-0.351467,-0.409059,2
-0.365024,-0.872679,1
-0.400682,-0.782335,1
-0.510834,-0.915077,1
-0.389319,-0.911786,1
-0.301764,-0.997931,1
-0.467033,-0.100472,2
-0.571550,-0.105964,2
-0.523119,-0.049433,2
-0.490031,-0.214347,2
-0.233585,-0.396384,2
-0.676438,-0.828722,1
-0.551656,-0.341554,2
-0.847319,-0.276971,1
-0.381281,-0.315231,2
-0.393116,-0.405656,2
-0.963830,-0.269107,1
-0.778553,-0.513644,1
-0.310810,-0.347441,2
-1.000587,-0.044067,1
-0.460550,-0.151256,2
-0.367092,-0.208108,2
-0.254936,-0.445747,2
-0.406479,-0.154377,2
-0.818806,-0.442040,1
-0.269415,-0.414662,2
-0.792158,-0.646814,1
-0.069963,-1.067009,1
-0.311446,-0.373150,2
-0.778236,-0.673338,1
-0.435737,-0.809436,1
-0.379605,-0.331934,2
-0.062271,-0.470939,2
-0.378888,-0.356482,2
-1.003118,-0.276058,1
-0.905439,-0.472320,1
-0.541147,-0.026335,2
-0.593245,-0.813267,1
-0.716889,-0.727208,1
-0.247473,-0.362854,2
-0.446336,-0.171256,2
-0.491938,-0.958080,1
-0.925842,-0.348981,1
-0.854851,-0.370776,1
-0.827358,-0.647875,1
-0.981838,-0.028592,1
-0.095563,-0.448838,2
-0.173019,-0.480815,2
-0.132129,-0.543416,2
-0.443029,-0.258074,2
-0.037193,-0.416448,2
-0.405274,-0.327560,2
-0.156190,-0.462397,2
-0.480163,-0.311362,2
-0.422429,-0.024067,2
-0.850862,-0.459952,1
-0.086879,-0.415469,2
-0.716553,-0.643333,1
-0.502902,-0.196295,2
-0.194223,-0.419435,2
-0.952629,-0.287753,1
-0.486571,-0.134542,2
-0.485897,-0.946153,1
-1.020700,-0.116695,1
-0.199000,-0.497493,2
-0.667901,-0.761068,1
-0.888484,-0.420994,1
-0.448337,-0.071239,2
-0.715424,-0.791559,1
-0.294406,-0.296213,2
-0.797747,-0.594107,1
-0.050025,-0.626249,2
-0.533621,-0.276237,2
-0.274008,-0.322761,2
-0.339175,-0.334434,2
-0.405512,-0.932758,1
-0.482917,-0.896239,1
-0.061466,-0.548454,2
-0.341380,-0.328421,2
-0.479896,-0.946211,1
-0.465768,-0.185947,2
-0.423733,-0.092566,2
-0.381875,-0.234307,2
-0.280420,-1.085547,1
-0.430273,-0.222612,2
-0.866841,-0.433339,1
-0.077190,-0.512540,2
-0.506350,-0.895488,1
-0.795087,-0.648690,1
-0.323741,-0.346109,2
-0.955718,-0.443449,1
-0.490166,-0.291284,2
-0.385347,-0.009620,2
-0.448978,-0.051686,2
-0.448348,-0.037388,2
-0.612290,-0.802957,1
-0.536580,-0.921327,1
-0.558742,-0.809889,1
-0.091707,-0.432462,2
-0.226350,-0.989868,1
-0.738905,-0.645179,1
-0.140639,-0.534913,2
-0.077874,-0.996069,1
-0.066895,-0.526530,2
-0.875557,-0.670006,1
-0.391797,-0.401162,2
-0.275034,-0.360481,2
-0.410306,-0.295696,2
-0.504328,-0.834644,1
-0.890881,-0.437152,1
-0.811836,-0.632401,1
-1.004719,-0.179925,1
-0.044290,-0.456204,2
-0.233358,-0.456338,2
-0.301152,-0.361207,2
-0.375298,-0.383078,2
-0.890948,-0.498771,1
-0.283263,-0.414159,2
-0.412441,-0.310460,2
-0.022466,-0.425339,2
-0.373165,-0.824262,1
-0.316825,-0.922454,1
-0.234112,-0.316738,2
-0.034727,-0.490658,2
-0.426585,-0.116391,2
-0.506799,-0.853116,1
-0.398635,-0.947631,1
-0.304416,-0.439765,2
-0.959500,-0.461253,1
-0.191945,-0.468230,2
-0.519455,-0.851498,1
-0.088564,-0.472298,2
-0.052945,-0.493066,2
-0.348331,-0.959145,1
-0.501325,-0.175249,2
-0.444614,-0.347696,2
-0.864605,-0.560985,1
-0.041171,-1.023290,1
-0.120612,-0.934569,1
-0.871603,-0.267210,1
-0.536647,-0.895368,1
-0.406990,-0.395108,2
-0.128896,-0.965146,1
-0.259252,-0.386745,2
-0.330440,-0.238188,2
-0.060782,-1.029759,1
-0.488912,-0.006048,2
-0.314245,-0.439648,2
-0.379153,-0.951051,1
-0.922082,-0.409213,1
-0.377335,-0.246943,2
-0.659210,-0.808401,1
-0.935351,-0.343238,1
-0.528028,-0.070724,2
-0.798096,-0.533141,1
-0.871350,-0.550012,1
-0.304435,-0.460090,2
-0.330936,-0.259792,2
-0.243108,-0.483163,2
-0.383063,-0.251491,2
-0.937747,-0.249884,1
-0.224336,-0.424225,2
-0.944352,-0.379276,1
-0.959113,-0.232643,1
-0.828695,-0.645457,1
-0.857406,-0.348116,1
-0.234244,-0.949293,1
-0.447378,-0.187841,2
-0.371596,-0.890964,1
-1.032982,-0.205116,1
-0.428486,-0.198611,2
-0.499162,-0.165737,2
-1.056954,-0.092840,1
-0.109660,-0.498447,2
-0.142849,-0.509917,2
-0.470963,-0.086435,2
-0.428241,-0.214381,2
-0.609781,-0.701239,1
-0.985535,-0.168714,1
-0.228233,-0.950750,1
-0.727107,-0.787856,1
-0.700571,-0.653505,1
-0.989552,-0.028509,1
-0.519221,-0.050896,2
-0.050491,-0.469544,2
-0.578272,-0.846113,1
-0.866542,-0.617432,1
-0.157691,-0.455516,2
-0.352317,-0.280213,2
-0.207735,-0.562488,2
-0.464033,-0.089447,2
-0.378657,-0.432459,2
-0.388836,-0.844100,1
-0.303652,-0.966551,1
-0.775098,-0.484092,1
-1.024399,-0.355293,1
-0.155382,-0.390135,2
-0.394319,-0.128542,2
-0.463509,-0.858592,1
-0.551048,-0.776452,1
-0.996819,-0.233283,1
-0.713205,-0.609486,1
-0.520655,-0.798812,1
-0.498388,-0.041425,2
-0.930085,-0.259153,1
-0.054004,-0.518601,2
-0.548559,-0.182783,2
-0.114335,-0.481208,2
-0.225429,-0.404833,2
-0.901443,-0.453239,1
-0.181691,-0.945631,1
-0.935765,-0.358048,1
-0.637694,-0.767880,1
-0.203397,-0.909498,1
-0.213103,-0.406963,2
-0.083605,-0.976790,1
-0.071402,-0.434792,2
-0.532231,-0.151104,2
-0.987595,-0.025550,1
-0.439280,-0.172439,2
-0.410254,-0.896304,1
-0.857874,-0.579789,1
-0.649055,-0.747931,1
-0.353136,-0.965182,1
-0.693297,-0.566284,1
-0.062831,-0.929133,1
-0.443320,-0.257247,2
-1.026273,-0.373620,1
-0.273693,-0.564304,2
-0.631386,-0.794967,1
-0.466748,-0.313306,2
-0.466833,-0.214765,2
-0.797549,-0.610782,1
-0.511806,-0.251061,2
-0.376743,-0.151460,2
-0.149142,-0.473362,2
-0.566779,-0.781071,1
-0.095214,-0.508348,2
-0.231892,-0.357692,2
-0.172523,-0.955120,1
-0.400479,-0.231035,2
-0.774008,-0.662412,1
-0.953201,-0.358989,1
-0.105322,-0.480940,2
-0.780119,-0.663816,1
-0.256235,-0.271002,2
-0.465645,-0.917661,1
-0.286681,-1.071207,1
-0.430896,-0.914637,1
-0.470272,-0.102476,2
-0.037334,-0.458614,2
-0.384995,-0.290997,2
-0.481765,-0.227478,2
-0.973592,-0.269129,1
-0.544846,-0.925520,1
-0.071496,-0.968795,1
-0.274210,-0.970030,1
-0.761343,-0.667198,1
-0.384391,-0.407884,2
-0.413754,-0.917431,1
-0.124592,-0.998635,1
-0.304408,-0.991998,1
-0.323995,-1.002228,1
-0.087044,-0.518238,2
-0.586087,-0.012994,2
-0.201234,-0.399921,2
-0.785164,-0.538870,1
-0.857384,-0.487120,1
-0.045495,-0.525616,2
-0.852384,-0.545749,1
-0.603073,-0.799889,1
-0.363809,-1.023578,1
-0.040146,-0.481500,2
-0.312828,-0.355150,2
-0.356628,-0.931835,1
-0.433476,-0.900823,1
-0.152366,-1.008956,1
-1.022090,-0.178060,1
-0.146697,-0.488405,2
-0.175389,-0.980321,1
-0.060786,-0.446063,2
-1.035856,-0.107933,1
-0.078598,-0.442337,2
-0.449499,-0.328669,2
-0.976472,-0.274708,1
-0.786712,-0.688512,1
-0.119917,-0.456158,2
-0.449793,-0.004643,2
-0.114305,-0.500099,2
-0.022379,-0.514413,2
-0.506181,-0.101805,2
-0.181823,-0.475792,2
-0.659293,-0.725358,1
-0.551347,-0.754453,1
-0.470571,-0.105425,2
-0.742572,-0.719349,1
-0.053595,-0.387447,2
-0.428497,-0.254285,2
-0.532618,-0.189959,2
-0.119485,-0.519357,2
-0.434872,-0.110693,2
-0.453533,-0.875497,1
-0.107483,-0.545324,2
-0.245088,-1.001267,1
-0.647330,-0.785165,1
-1.065990,-0.218468,1
-0.968609,-0.128270,1
-0.549033,-0.004535,2
-0.929307,-0.451400,1
-0.066732,-0.994624,1
-0.433881,-0.060656,2
-1.014009,-0.102081,1
-0.906176,-0.354548,1
-0.417394,-0.026981,2
-0.721864,-0.772951,1
-0.526043,-0.063691,2
-1.039307,-0.138340,1
-0.324703,-0.524023,2
-0.245973,-0.913700,1
-0.507497,-0.036929,2
-0.771119,-0.708886,1
-0.888686,-0.445796,1
-0.323666,-0.973323,1
-0.484961,-0.172120,2
-0.249437,-0.421668,2
-0.903991,-0.046463,1
-0.392813,-0.444131,2
-0.090066,-0.530580,2
-0.513996,-0.023750,2
-0.025822,-1.048742,1
-0.127994,-0.348656,2
-0.584674,-0.817355,1
-0.153106,-0.450803,2
-0.884028,-0.422477,1
-0.377379,-0.422186,2
-0.508060,-0.216553,2
-1.013834,-0.070378,1
-0.429155,-0.361909,2
-0.295164,-0.426495,2
-0.801522,-0.744611,1
